start-geopoint,_start-geopoint_latitude,_start-geopoint_longitude,_start-geopoint_altitude,_start-geopoint_precision,Region_faci,Facility_id4,gps,_gps_latitude,_gps_longitude,_gps_altitude,_gps_precision
,,,,,6,3,12.799305 39.6470317 1667.2 4.5,12.799305,39.6470317,1667.2,4.5
,,,,,6,3,12.7993017 39.647025 1667.1 4.5,12.7993017,39.647025,1667.1,4.5
,,,,,6,3,12.7993017 39.6470383 1667.2 4.6,12.7993017,39.6470383,1667.2,4.6
,,,,,6,3,12.7992995 39.6469941 1666.9 5.133,12.7992995,39.6469941,1666.9,5.133
,,,,,6,3,12.7993167 39.64702 1666.9 4.4,12.7993167,39.64702,1666.9,4.4
,,,,,6,3,12.7993217 39.6470167 1666.9 4.2,12.7993217,39.6470167,1666.9,4.2
,,,,,6,3,12.7977008 39.6457569 1555.7 15.4,12.7977008,39.6457569,1555.7,15.4
,,,,,6,3,12.7993033 39.64702 1667.1 4.5,12.7993033,39.64702,1667.1,4.5
,,,,,6,3,12.7993217 39.6470083 1666.9 4.3,12.7993217,39.6470083,1666.9,4.3
,,,,,6,3,12.7995887 39.6468139 1667.2 4.45,12.7995887,39.6468139,1667.2,4.45
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
,,,,,6,4,13.6389011 39.1740691 2617.3 4.32,13.6389011,39.1740691,2617.3,4.32
13.6391229 39.1727358 0.0 699.999,13.6391229,39.1727358,0,699.999,6,4,13.638879 39.1740592 2598.2 4.928,13.638879,39.1740592,2598.2,4.928
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
,,,,,6,3,12.7998627 39.6493972 0.0 1799.999,12.7998627,39.6493972,0,1799.999
12.9369933 39.5162883 2453.2999999999997 1832.03,12.9369933,39.5162883,2453.3,1832.03,6,2,12.9372756 39.5165313 2466.0 4.94,12.9372756,39.5165313,2466,4.94
12.9373667 39.5166933 2486.7 2121.18,12.9373667,39.5166933,2486.7,2121.18,6,2,12.9374724 39.516653 2482.3999999999996 4.76,12.9374724,39.516653,2482.4,4.76
12.9374077 39.5157046 2467.2999999999997 300.0,12.9374077,39.5157046,2467.3,300,6,2,12.9374903 39.5167366 2480.6 5.0,12.9374903,39.5167366,2480.6,5
,,,,,6,7,14.1141439 38.6013765 2238.7999999999997 4.8,14.1141439,38.6013765,2238.8,4.8
14.3089251 38.1769115 1798.0 8.34,14.3089251,38.1769115,1798,8.34,6,8,14.3091765 38.1765166 1833.8 4.98,14.3091765,38.1765166,1833.8,4.98
,,,,,6,8,14.3090402 38.1766664 1827.8999999999999 4.875,14.3090402,38.1766664,1827.9,4.875
14.3091852 38.1767851 1814.8999999999999 7.8,14.3091852,38.1767851,1814.9,7.8,6,8,14.3089999 38.1766689 1825.8 4.74,14.3089999,38.1766689,1825.8,4.74
14.30961 38.1728733 1823.5 15.9,14.30961,38.1728733,1823.5,15.9,6,8,14.3090982 38.17675 1809.1 4.92,14.3090982,38.17675,1809.1,4.92
,,,,,6,8,14.309039 38.1767311 1843.0 4.96,14.309039,38.1767311,1843,4.96
,,,,,6,8,14.3090868 38.1767622 1820.6999999999998 4.96,14.3090868,38.1767622,1820.7,4.96
,,,,,6,8,14.3090917 38.1765215 1792.6 4.883,14.3090917,38.1765215,1792.6,4.883
,,,,,6,8,14.3090471 38.1767264 1827.5 4.98,14.3090471,38.1767264,1827.5,4.98
,,,,,6,8,14.3092486 38.1766609 1835.3999999999999 5.0,14.3092486,38.1766609,1835.4,5
,,,,,6,8,14.3090225 38.1767748 1826.3999999999999 4.966,14.3090225,38.1767748,1826.4,4.966
,,,,,6,8,14.3090798 38.1767214 1826.1 4.84,14.3090798,38.1767214,1826.1,4.84
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8647801 39.7379235 2656.5 4.955,13.8647801,39.7379235,2656.5,4.955
13.8637306 39.7383645 0.0 2500.0,13.8637306,39.7383645,0,2500,6,5,13.8647471 39.7379212 2687.1 4.8,13.8647471,39.7379212,2687.1,4.8
13.8647216 39.7366468 2659.5 9.657,13.8647216,39.7366468,2659.5,9.657,6,5,13.8647283 39.7381384 2676.2 4.92,13.8647283,39.7381384,2676.2,4.92
13.8646983 39.73648 2663.3999999999996 214.035,13.8646983,39.73648,2663.4,214.035,6,5,13.864639 39.7380262 2708.3999999999996 4.942,13.864639,39.7380262,2708.4,4.942
13.8647709 39.7365901 2659.8999999999996 7.258,13.8647709,39.7365901,2659.9,7.258,6,5,13.8647144 39.7381178 2720.0 4.885,13.8647144,39.7381178,2720,4.885
